timeframe,timeframe_name,rank,rank_name,ranking,heroid,name,roles,lanes,win_rate_pct,pick_rate_pct,ban_rate_pct,meta_score,tier,counter_1,counter_2,counter_3,counter_4,counter_5,synergy_1,synergy_2,synergy_3,synergy_4,synergy_5,avatar_url
1d,Past 1 day,all,ALL,1,14,Rafaela,Support,Roam,59.44,1.19,14.65,62.1,S,Valir,Natalia,Alice,Cici,Marcel,Carmilla,Atlas,Kaja,Gatotkaca,Baxia,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_68277dce415742c4a98883151c693a07.png
1d,Past 1 day,all,ALL,2,132,Marcel,"Tank, Support","Exp Lane, Roam",58.58,0.29,31.62,66.6,S,Atlas,Akai,Sun,Belerick,Khufra,Saber,Natalia,Edith,Kalea,Carmilla,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_b3a7602fe7ffd1e54bf8ea79ceadfa72.png
1d,Past 1 day,all,ALL,3,88,Masha,"Fighter, Tank",Exp Lane,58.34,0.66,17.1,58.8,A,Gloo,Cici,Yu Zhong,Eudora,Silvanna,Chip,Yve,Aulus,Nolan,Alice,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_c97a314dc260dfad1311512ddc03f936.png
1d,Past 1 day,all,ALL,4,108,Aulus,Fighter,Jungle,58.25,0.7,4.45,51.1,A,Gloo,Minsitthar,Sun,Natalia,Tigreal,Sora,Valentina,Freya,Chip,Arlott,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_40839957990dbb59a9e5ec4da9f85a8e.png
1d,Past 1 day,all,ALL,5,45,Argus,Fighter,Exp Lane,55.34,0.68,1.76,42.1,B,Karrie,Helcurt,Saber,Arlott,Zilong,Alice,Balmond,Hilda,Natalia,Lolita,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_0bd96658e5b8ec578226ea1622bd7231.png
1d,Past 1 day,all,ALL,6,19,Minotaur,"Tank, Support",Roam,55.11,1.03,6.04,45.5,A,Lolita,Khufra,Silvanna,Cyclops,Odette,Saber,Kaja,Arlott,Kalea,Chou,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_3ecd2c0843df7ec85044dafff6bf4553.png
1d,Past 1 day,all,ALL,7,78,Khufra,Tank,Roam,54.88,0.31,1.77,39.5,B,Wanwan,Alucard,Silvanna,Akai,Sora,Lolita,Natalia,Helcurt,Estes,Fanny,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_2fe99f4001211d18b3d2b95d0d3dc395.png
1d,Past 1 day,all,ALL,8,112,Floryn,Support,Roam,54.85,1.03,12.52,48.8,A,X.Borg,Marcel,Alice,Valir,Alpha,Chip,Baxia,Atlas,Carmilla,Granger,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_5a57b91e4914cf071a3849e352e530a5.png
1d,Past 1 day,all,ALL,9,133,Hirara,,,54.47,0.68,65.26,68.9,S,Lolita,Hanzo,X.Borg,Gloo,Sun,Angela,Floryn,Granger,Barats,Lunox,https://akmweb.youngjoygame.com/web/svnres/img/test/homepage_2_2_16_1232_1/100_71224844b111f09367df00e4f9b97753.png
1d,Past 1 day,all,ALL,10,104,Gloo,Tank,"Exp Lane, Roam",54.38,0.73,37.39,61.3,S,Aamon,Jawhead,Lolita,Johnson,Chang'e,Natalia,Helcurt,Zilong,Saber,Aldous,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_1_9_642/100_c472fe0233e5ef84a3ac9ba4a229d09f.png
1d,Past 1 day,all,ALL,11,20,Lolita,"Support, Tank",Roam,54.32,0.08,0.16,36.2,B,Cyclops,Faramis,Chang'e,Harley,Angela,Kalea,Khufra,Joy,Bane,Faramis,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_474cea36a4bfdc7bf7d94530853a99b2.png
1d,Past 1 day,all,ALL,12,127,Lukas,Fighter,"Exp Lane, Jungle",53.91,1.09,23.27,53.1,A,Ling,Natalia,Sun,Aldous,Arlott,Phoveus,Floryn,Freya,Harith,Arlott,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_1_9_20/100_63040edd0cf15b815fcbbb8b2d08d7f7.png
1d,Past 1 day,all,ALL,13,48,Diggie,Support,Roam,53.87,0.18,3.19,37.3,B,Alice,Fredrinn,Guinevere,Tigreal,Brody,Baxia,Ixia,Beatrix,Natan,Fredrinn,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_b1bdf46136cb8a7903dae6d58e8349cb.png
1d,Past 1 day,all,ALL,14,12,Bruno,Marksman,Gold Lane,53.77,0.61,0.55,37.2,B,Wanwan,Ling,Fanny,Roger,Belerick,Yve,Fanny,Chip,Arlott,Faramis,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_ff39deb9c6afec3d977fdbe9d86f78cb.png
1d,Past 1 day,all,ALL,15,92,Carmilla,"Support, Tank",Roam,53.77,1.12,8.54,44.0,B,Popol and Kupa,Gloo,Estes,Hilda,Chip,Floryn,Rafaela,Diggie,Kaja,Angela,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_6fb8f120dafdcbc1b5da2a2667016ad5.png
1d,Past 1 day,all,ALL,16,130,Obsidia,Marksman,Gold Lane,53.72,1.81,5.8,45.0,A,Benedetta,Helcurt,Hanzo,Fanny,Hayabusa,Harith,Yve,Popol and Kupa,Carmilla,Pharsa,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_2_1_18/100_9c3daef5625bfade5c4cb8a219845dd3.png
1d,Past 1 day,all,ALL,17,84,Ling,Assassin,Jungle,53.5,0.73,0.91,37.2,B,Gloo,X.Borg,Hanzo,Silvanna,Atlas,Leomord,Dyrroth,Khufra,Odette,Pharsa,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_92/100_017bade52b9fc94bbc12615de6d75c08.png
1d,Past 1 day,all,ALL,18,94,Popol and Kupa,Marksman,"Jungle, Gold Lane",53.39,0.47,0.24,35.5,B,Jawhead,Harley,Zilong,Selena,Diggie,Lesley,Layla,Brody,Granger,Clint,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_1acbb23b9a50f412104047a60eb18808.png
1d,Past 1 day,all,ALL,19,34,Estes,Support,Roam,53.01,0.7,34.29,55.9,A,Faramis,Diggie,Cyclops,Mathilda,Cici,Atlas,Chip,Saber,Kimmy,Minsitthar,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_ff4de3b0aabd1d2f6e184db1c831f6a9.png
1d,Past 1 day,all,ALL,20,97,Benedetta,"Assassin, Fighter",Exp Lane,53.0,0.36,0.28,34.1,B,Alpha,Yve,X.Borg,Silvanna,Ixia,Bane,Alucard,Aulus,Julian,Lunox,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_b4a5e537894bdc00787e80e4d3ada5dd.png
1d,Past 1 day,all,ALL,21,111,Edith,"Tank, Marksman","Exp Lane, Roam",52.81,0.36,0.24,33.6,B,Mathilda,Harith,Alice,Silvanna,Esmeralda,Marcel,Natalia,Lolita,Estes,Mathilda,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_daab57918de01a6d5bb2ed6f45808a7e.png
1d,Past 1 day,all,ALL,22,23,Gord,Mage,Mid Lane,52.8,0.7,0.6,35.1,B,Barats,Lolita,Fredrinn,Alice,Phoveus,Khaleed,Cyclops,Alucard,Baxia,Khufra,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_1_9_47/100_9513f5e10ec33f76747732eaf2082259.png
1d,Past 1 day,all,ALL,23,57,Valir,Mage,Mid Lane,52.76,0.96,1.61,36.7,B,Fredrinn,Alice,Hylos,Balmond,Leomord,Yve,Natalia,Hanzo,Kalea,Harley,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_bf16690876761b80822df90eb3320d69.png
1d,Past 1 day,all,ALL,24,70,Belerick,Tank,Roam,52.43,1.82,54.32,68.4,S,Miya,Silvanna,Saber,Zhask,Johnson,Zilong,Saber,Helcurt,Natalia,Silvanna,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_5f2a9eca0bafd4ed8dc39a93c771b3af.png
1d,Past 1 day,all,ALL,25,101,Yve,Mage,Mid Lane,52.39,0.05,0.04,31.2,B,Lolita,Alice,Barats,Bane,Cici,Harley,Valir,Kalea,Carmilla,Granger,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_92/100_d9b0a1d92b1c4b3643d6332fd66aa8e6.png
1d,Past 1 day,all,ALL,26,25,Kagura,Mage,Mid Lane,52.37,0.7,1.26,34.5,B,Lolita,Hanzo,Silvanna,Sun,Hanabi,Zhuxin,Lunox,Chip,Harley,Granger,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_da424b020b8ac8235d64a1b8a09aa749.png
1d,Past 1 day,all,ALL,27,43,Irithel,Marksman,Gold Lane,52.18,0.42,0.22,32.2,B,Wanwan,Ixia,Yin,Chang'e,Benedetta,Harith,Popol and Kupa,Angela,Chip,Martis,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_a7c51b517dbce49dac4e537bd4ab4f87.png
1d,Past 1 day,all,ALL,28,27,Sun,Fighter,"Exp Lane, Jungle",52.16,1.38,18.66,47.1,A,Jawhead,Saber,Layla,Franco,Diggie,Balmond,Jawhead,Terizla,Dyrroth,Franco,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_117b5cdcc13232157075ce7b7f6177e9.png
1d,Past 1 day,all,ALL,29,93,Atlas,Tank,Roam,52.09,1.01,12.25,41.6,B,Popol and Kupa,Lolita,Layla,Estes,Zilong,Floryn,Mathilda,Estes,Angela,Rafaela,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_d974ac796678180ff8724b88e192898b.png
1d,Past 1 day,all,ALL,30,76,Faramis,"Support, Mage",Mid Lane,52.02,0.08,0.25,30.5,B,Gloo,Zhuxin,Ling,Atlas,Sun,Grock,Joy,Kaja,Lolita,Estes,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_04e575d648d7f7ac1174f4369595c3a2.png
1d,Past 1 day,all,ALL,31,50,Zhask,Mage,Mid Lane,51.97,0.36,0.33,31.6,B,Diggie,Wanwan,Arlott,Valentina,Lolita,Johnson,Harley,Helcurt,Arlott,Bane,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_d8f170087cb2d5b71bb22a0a4664a927.png
1d,Past 1 day,all,ALL,32,105,Beatrix,Marksman,Gold Lane,51.96,0.68,0.43,32.9,B,Estes,Hanabi,Belerick,Barats,Edith,Baxia,Diggie,Harith,Popol and Kupa,Fredrinn,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_4687eca874feec9017b448a0b9110d65.png
1d,Past 1 day,all,ALL,33,99,Barats,"Tank, Fighter",Jungle,51.83,0.79,4.68,35.6,B,Alucard,Silvanna,Phoveus,Argus,Roger,Estes,Alucard,Helcurt,Gusion,Floryn,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_6495be044c2d28106e200f6918391d54.png
1d,Past 1 day,all,ALL,34,60,Hanabi,Marksman,Gold Lane,51.53,2.82,5.93,43.7,B,Popol and Kupa,Chip,Saber,Balmond,Kaja,Popol and Kupa,Balmond,Franco,Jawhead,Tigreal,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_8a9c1966feb34e85d7bdcc1ed01ffb5d.png
1d,Past 1 day,all,ALL,35,13,Clint,Marksman,Gold Lane,51.52,0.83,0.88,32.7,B,Lolita,Karina,Baxia,Belerick,Luo Yi,Harith,Popol and Kupa,Roger,Aulus,Kimmy,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_5a8345c69a4c9c611fdfce91089fe74a.png
1d,Past 1 day,all,ALL,36,80,Guinevere,Fighter,Exp Lane,51.5,0.91,3.16,34.3,B,Karrie,Julian,Esmeralda,Lunox,Terizla,Lapu-Lapu,Phoveus,X.Borg,Khaleed,Balmond,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_901bdd5d4432a2c0290dfc71df615a5a.png
1d,Past 1 day,all,ALL,37,75,Kadita,"Mage, Assassin",Mid Lane,51.41,1.02,4.79,35.5,B,Lolita,Ixia,Johnson,Atlas,Baxia,Floryn,Angela,Rafaela,Kaja,Diggie,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_42b40ae7741d2eb81148c8f1e1ff614c.png
1d,Past 1 day,all,ALL,38,117,Fredrinn,"Fighter, Tank",Jungle,51.33,0.48,1.69,31.2,B,Gloo,Saber,Alucard,Odette,Ling,Diggie,Angela,Arlott,Granger,Joy,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_dea170bfd5f26c41fb04e5edf72afedb.png
1d,Past 1 day,all,ALL,39,98,Khaleed,Fighter,"Exp Lane, Roam",51.28,0.13,0.07,28.7,C,Vale,Diggie,Natalia,Mathilda,Roger,Luo Yi,Saber,Thamuz,Bane,Guinevere,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_540a6a9d343842674ce002082366ec9d.png
1d,Past 1 day,all,ALL,40,107,Natan,Marksman,Gold Lane,51.21,0.28,0.12,29.2,C,Sun,Zhask,Gloo,Esmeralda,Claude,Diggie,Chip,Natalia,Baxia,Fredrinn,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_da02742f59013365923b216420bc4082.png
1d,Past 1 day,all,ALL,41,15,Eudora,Mage,Mid Lane,51.16,2.04,59.28,66.0,S,Irithel,Zilong,Rafaela,Hayabusa,Floryn,Floryn,Bane,Estes,Rafaela,Cyclops,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_60956060c4cbb86f3c6343da05b70568.png
1d,Past 1 day,all,ALL,42,11,Bane,"Fighter, Mage","Jungle, Exp Lane",51.02,0.26,0.13,28.7,C,Faramis,Chip,Odette,Khufra,Lunox,Lolita,Yu Zhong,Benedetta,Hilda,Kaja,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_7e4e74bb161da0f477cc0d1819fa39e6.png
1d,Past 1 day,all,ALL,43,129,Zetian,Mage,Mid Lane,51.01,1.6,3.82,36.2,B,Lolita,Natalia,Tigreal,Helcurt,Popol and Kupa,Harley,Cyclops,Natalia,Karina,Lesley,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_1_9_90/100_8d965f05f84621a51f799aeb8fb5f4c4.png
1d,Past 1 day,all,ALL,44,64,Aldous,Fighter,Exp Lane,50.97,0.5,0.66,29.8,C,X.Borg,Uranus,Hanzo,Gatotkaca,Baxia,X.Borg,Tigreal,Alice,Gloo,Johnson,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_0eb32187d08f14779585a8be53b83f01.png
1d,Past 1 day,all,ALL,45,74,Minsitthar,Fighter,"Exp Lane, Roam",50.93,0.64,5.09,32.9,B,Freya,Harith,Martis,Phoveus,Karrie,Hilda,Estes,Kalea,Joy,Hylos,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_c5d24a1dad6cef21de2698a4ed1d80ce.png
1d,Past 1 day,all,ALL,46,33,Cyclops,Mage,Mid Lane,50.89,0.64,0.23,29.9,C,Natalia,Wanwan,Marcel,Joy,Ling,Akai,Zetian,Gord,Ixia,Diggie,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_68da456f9c01b2f88d29ee320db181ed.png
1d,Past 1 day,all,ALL,47,24,Natalia,Assassin,"Jungle, Roam",50.84,0.29,1.35,29.1,C,Ling,Minsitthar,Diggie,Hanzo,Xavier,Akai,Chip,Khufra,Floryn,Marcel,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_fbb5065b6ff174d1a20ccf5b7f523514.png
1d,Past 1 day,all,ALL,48,31,Moskov,Marksman,Gold Lane,50.81,0.89,0.23,30.7,B,Gloo,Joy,Fanny,Wanwan,Beatrix,Faramis,Harith,Marcel,Yve,Grock,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_a60a866ab6752a7f66766e720da987ea.png
1d,Past 1 day,all,ALL,49,91,Cecilion,Mage,Mid Lane,50.81,0.66,0.12,29.7,C,Lolita,Barats,Grock,Bane,Akai,Wanwan,Harith,Harley,Carmilla,Marcel,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_045399c265021d47da6512e6de20b64f.png
1d,Past 1 day,all,ALL,50,103,Paquito,"Fighter, Assassin",Exp Lane,50.7,1.82,48.44,63.1,S,Natalia,X.Borg,Karina,Wanwan,Yve,Alice,Thamuz,Kimmy,Natan,Freya,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_e2b6d9c6d82b4a27f0bb2710c8ead3e8.png
1d,Past 1 day,all,ALL,51,67,Leomord,Fighter,Jungle,50.65,0.3,0.44,28.1,C,Saber,Lolita,Natalia,Layla,Silvanna,Ling,Martis,Kaja,Yin,Helcurt,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_554cdf13a7587fe08c5deed60132c61c.png
1d,Past 1 day,all,ALL,52,30,Yi Sun-shin,"Assassin, Marksman",Jungle,50.47,1.53,9.55,38.0,B,Thamuz,Popol and Kupa,Benedetta,Wanwan,Martis,Floryn,Granger,Khufra,Freya,Yin,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_961378be3f498d42c25b3defd1635ad1.png
1d,Past 1 day,all,ALL,53,82,Terizla,"Fighter, Tank",Exp Lane,50.44,0.33,0.15,27.5,C,Phoveus,Vale,Silvanna,Argus,Popol and Kupa,Sun,Angela,Popol and Kupa,Bane,Luo Yi,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_c4bb270c28c7be663f57e993b0d6d3d8.png
1d,Past 1 day,all,ALL,54,100,Brody,Marksman,Gold Lane,50.38,1.15,2.56,32.1,B,Karina,Belerick,Natalia,Irithel,Helcurt,Harith,Popol and Kupa,Floryn,Lolita,Estes,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_f18e45a9a4cb45897e1f614593ff4497.png
1d,Past 1 day,all,ALL,55,4,Alice,"Tank, Mage","Exp Lane, Jungle",50.37,0.67,3.16,30.5,B,Gloo,Tigreal,Johnson,Khufra,Grock,Angela,Argus,Cici,Aldous,Yve,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_2_1_18/100_18300163a5a912a84adb52b8d59b4618.png
1d,Past 1 day,all,ALL,56,62,Kaja,"Support, Fighter",Roam,50.31,0.6,20.71,40.6,B,Valir,Beatrix,Akai,Diggie,Zhuxin,Aurora,Carmilla,Kalea,Odette,Rafaela,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_a23983833ad5bee7c83422c8ff727115.png
1d,Past 1 day,all,ALL,57,90,Silvanna,Fighter,Exp Lane,50.19,0.99,1.32,30.2,B,Aamon,Odette,Sun,Angela,Floryn,Hilda,Estes,Grock,Tigreal,Johnson,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_5e7b297af7c6e32a420b897aa4998071.png
1d,Past 1 day,all,ALL,58,77,Badang,Fighter,"Exp Lane, Roam",50.1,1.66,6.42,35.7,B,Fanny,Sun,Zilong,Helcurt,Aldous,Faramis,Saber,Aldous,Natalia,Sun,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_9fb1784545a48aef42241fc7a719c575.png
1d,Past 1 day,all,ALL,59,125,Zhuxin,Mage,Mid Lane,50.09,0.14,0.26,25.9,C,Lolita,Khufra,Hylos,Lukas,Roger,Odette,Luo Yi,Kagura,Valentina,Xavier,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_92/100_595f85bc90df3889c711c6b1f02dc02d.png
1d,Past 1 day,all,ALL,60,119,Novaria,Mage,Mid Lane,50.09,1.59,4.27,34.1,B,Diggie,Valir,Hanabi,Bane,Belerick,Khaleed,Cyclops,Harley,Edith,Franco,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_57eeea6d5bd8d21229de8df79751db9f.png
1d,Past 1 day,all,ALL,61,115,Xavier,Mage,Mid Lane,50.02,0.57,0.12,27.4,C,Baxia,Belerick,Uranus,Barats,Kimmy,Zhuxin,Wanwan,Marcel,Natalia,Lolita,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_df0a8dfc494f85ed9bbc4512cc1e5d3c.png
1d,Past 1 day,all,ALL,62,116,Julian,"Assassin, Fighter",Jungle,49.94,0.74,0.82,28.3,C,Esmeralda,Phoveus,Aulus,Odette,Alice,Tigreal,Esmeralda,Johnson,Chip,Benedetta,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_5511ddc0ad2789b525f32ef572b017eb.png
1d,Past 1 day,all,ALL,63,69,Hanzo,Assassin,Jungle,49.93,0.56,20.4,39.3,B,Balmond,Ixia,Alpha,Diggie,Franco,Hilda,Dyrroth,Grock,Karrie,Aldous,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_1_9_47/100_d2d28d2fcb060726fa27553920ca1a33.png
1d,Past 1 day,all,ALL,64,126,Suyou,"Assassin, Fighter",Jungle,49.91,0.82,0.96,28.6,C,Sun,Balmond,Karina,Baxia,Natalia,Esmeralda,Barats,Zhuxin,Ixia,Lesley,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_1_9_20/100_5e4ca70172332dde18bb1dc158ccc5c8.png
1d,Past 1 day,all,ALL,65,35,Hilda,"Fighter, Tank","Roam, Exp Lane",49.91,0.61,5.42,30.5,B,Yin,Granger,Helcurt,Saber,Harley,Minsitthar,Silvanna,Bane,Saber,Zilong,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_acd700708dc515f5c63a08f8835a9941.png
1d,Past 1 day,all,ALL,66,9,Akai,Tank,Roam,49.89,0.37,1.41,27.1,C,Ixia,Harith,Sora,Silvanna,Alucard,Natalia,Diggie,Angela,Kalea,Cyclops,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_28f223447f0174336ff0922d364d81d3.png
1d,Past 1 day,all,ALL,67,59,Uranus,Tank,Exp Lane,49.81,0.35,0.33,26.1,C,Yin,Diggie,Argus,Benedetta,Akai,Angela,Diggie,Aulus,Yve,Luo Yi,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_2e15a0a506aaecd9b3de40a8cc9f7ec7.png
1d,Past 1 day,all,ALL,68,63,Selena,"Assassin, Mage",,49.68,1.37,3.47,31.8,B,X.Borg,Ixia,Beatrix,Benedetta,Layla,Diggie,Floryn,Rafaela,Mathilda,Nolan,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_c3f967121519ae40509c5b2fdf52b19d.png
1d,Past 1 day,all,ALL,69,95,Yu Zhong,Fighter,Exp Lane,49.6,0.57,0.63,26.7,C,Gloo,Silvanna,Minsitthar,Popol and Kupa,Atlas,Bane,Thamuz,Yve,Harith,Julian,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_92/100_9823ce4fe5eb89c0082b24f6d5ea67f6.png
1d,Past 1 day,all,ALL,70,109,Aamon,Assassin,Jungle,49.58,0.7,2.32,28.1,C,Cici,Marcel,Claude,Ling,Jawhead,Joy,Wanwan,Jawhead,Hylos,Grock,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_b3a7602fe7ffd1e54bf8ea79ceadfa72.png
1d,Past 1 day,all,ALL,71,86,Lylia,Mage,Mid Lane,49.58,0.49,0.32,26.1,C,Barats,Alice,Grock,Johnson,Alpha,Lunox,Harley,Hanzo,Saber,Lesley,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_706573f138055c3df3df94948b4f26bd.png
1d,Past 1 day,all,ALL,72,131,Sora,"Fighter, Assassin",Exp Lane,49.57,0.56,2.79,27.8,C,Estes,Lolita,Karina,Rafaela,Guinevere,Aulus,Diggie,Bane,Valentina,Mathilda,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_2_1_40/100_8143d7bbd4318d7c699908e808de885e.png
1d,Past 1 day,all,ALL,73,121,Ixia,Marksman,Gold Lane,49.53,0.75,0.71,27.3,C,Estes,Cyclops,Floryn,Rafaela,Bane,Diggie,Baxia,Harith,Popol and Kupa,Estes,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_f070d82521ecd2e14d4ef3f25880830a.png
1d,Past 1 day,all,ALL,74,83,X.Borg,Fighter,Exp Lane,49.48,0.59,1.57,27.0,C,Barats,Baxia,Terizla,Martis,Chip,Aldous,Karrie,Guinevere,Hilda,Phoveus,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_efe9c7ed8d8f84f1bb0f88a3e08de5fc.png
1d,Past 1 day,all,ALL,75,29,Ruby,Fighter,Exp Lane,49.44,0.32,0.21,25.0,C,Gloo,Sun,Faramis,Lunox,Chip,Faramis,Aulus,Thamuz,Estes,Odette,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_4b96c75b136290576d849309722d4d20.png
1d,Past 1 day,all,ALL,76,68,Lunox,Mage,Mid Lane,49.38,0.24,0.15,24.5,C,Gloo,Baxia,Wanwan,Chip,Karina,Pharsa,Chip,Kagura,Lylia,Harley,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_e162688afdcaf3f6498af30badfe31c5.png
1d,Past 1 day,all,ALL,77,123,Cici,Fighter,Exp Lane,49.38,0.54,0.98,26.2,C,Balmond,Thamuz,Hylos,Alice,Akai,Alice,Baxia,Aulus,Chip,Bane,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_60e3e11da30f404c77fff9e22d3bdc72.png
1d,Past 1 day,all,ALL,78,46,Odette,Mage,Mid Lane,49.3,0.68,0.55,26.3,C,Kaja,Mathilda,Rafaela,Wanwan,Hero #133,Zhuxin,Chip,Kaja,Floryn,Diggie,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_1_9_47/100_d9251718a8894546ba04cfa9ca68dedc.png
1d,Past 1 day,all,ALL,79,66,Vale,Mage,Mid Lane,49.26,0.54,0.18,25.4,C,Chip,Odette,Yve,Harith,Minsitthar,Hilda,Jawhead,Alucard,Zilong,Popol and Kupa,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_2a7a8d1531a1c4f8524880413535348d.png
1d,Past 1 day,all,ALL,80,39,Roger,"Fighter, Marksman",Jungle,49.25,0.33,0.11,24.5,C,Balmond,Gusion,Harley,Silvanna,Yin,Granger,Ixia,Layla,Lesley,Clint,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_b40e578f13465b3ae99d0a9baac7ecc9.png
1d,Past 1 day,all,ALL,81,55,Angela,Support,Roam,49.17,1.64,7.72,34.1,B,Alice,Marcel,Balmond,Faramis,Lancelot,Gatotkaca,Atlas,Hero #133,Carmilla,Akai,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_c7e0183956b2c2fd6d3fa0b18fe46917.png
1d,Past 1 day,all,ALL,82,65,Claude,Marksman,Gold Lane,49.1,0.72,0.19,25.8,C,Lolita,Chang'e,Ixia,Layla,Granger,Harith,Popol and Kupa,Aamon,Karina,Dyrroth,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_e1097b9d3e1d5e9f14600d32e8b18acd.png
1d,Past 1 day,all,ALL,83,122,Nolan,Assassin,Jungle,49.07,0.93,2.35,27.8,C,Estes,X.Borg,Bane,Floryn,Natan,Valentina,Masha,Esmeralda,Mathilda,Selena,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_9012ee9f73fbb4db4e1953e5fb5172e1.png
